Date,Adj Close,Volume,1 Mo,3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,30 Yr,Adj Close AMD,Adj Close Intel,Adj Close Broadcom
10/1/2015,23.566568,12232400,0,0,0.08,0.31,0.92,1.37,2.05,2.85,1.74,26.232477,105.822395
10/2/2015,24.180838,9653600,0,0,0.06,0.25,0.85,1.29,1.99,2.82,1.83,26.678429,106.853439
10/5/2015,24.785362,12050600,0,0.01,0.06,0.26,0.89,1.35,2.07,2.9,1.8,27.290514,105.025337
10/6/2015,25.107115,11330400,0,0,0.07,0.26,0.9,1.34,2.05,2.88,1.83,27.753962,101.464401
10/7/2015,25.370377,7753800,0,0,0.08,0.27,0.92,1.37,2.08,2.89,1.86,28.261127,102.790001
10/8/2015,25.516632,11501700,0,0,0.07,0.27,0.93,1.4,2.12,2.96,1.93,28.436005,101.100494
10/9/2015,25.419125,10581200,0.01,0.01,0.07,0.28,0.96,1.41,2.12,2.94,1.96,28.103725,101.291122
10/12/2015,25.692139,5689700,0.01,0.01,0.07,0.28,0.96,1.41,2.12,2.94,1.87,28.164934,101.958252
10/13/2015,25.740889,7461100,0,0.01,0.08,0.27,0.92,1.36,2.06,2.89,1.92,28.016287,98.267365
10/14/2015,26.676924,15303700,0,0,0.08,0.21,0.84,1.29,1.99,2.84,1.95,28.680841,101.767647
10/15/2015,26.745176,13151200,0,0.01,0.08,0.22,0.9,1.34,2.04,2.87,1.97,28.637127,105.58847
10/16/2015,27.164436,11209900,0.03,0.01,0.07,0.23,0.91,1.36,2.04,2.87,1.94,28.890701,104.895348
10/19/2015,27.115685,7367800,0.06,0.02,0.12,0.23,0.89,1.35,2.04,2.89,2.01,29.371632,103.067253
10/20/2015,27.076679,6620600,0.08,0.02,0.12,0.23,0.93,1.4,2.08,2.92,2.02,29.240463,103.873009
10/21/2015,26.725674,9657000,0.01,0.01,0.12,0.23,0.91,1.37,2.04,2.87,2.1,29.179256,104.40152
10/22/2015,27.690962,7672100,0.02,0,0.11,0.23,0.89,1.36,2.04,2.87,2.14,30.079908,108.594887
10/23/2015,27.876209,9544400,0.01,0.01,0.13,0.24,0.94,1.43,2.09,2.9,2.21,30.517117,112.26844
10/26/2015,27.749454,6185900,0.01,0.02,0.16,0.25,0.94,1.41,2.07,2.87,2.15,30.24605,107.096031
10/27/2015,27.729958,5206700,0.01,0.03,0.18,0.29,0.92,1.38,2.05,2.86,2.15,30.141109,105.259254
10/28/2015,27.954218,5425900,0.03,0.04,0.21,0.33,1,1.47,2.1,2.87,2.18,30.350977,110.111115
10/29/2015,26.98893,8179200,0.02,0.07,0.21,0.33,1.05,1.53,2.19,2.96,2.13,29.756369,104.04628
10/30/2015,27.661703,7529000,0.01,0.08,0.23,0.34,1.05,1.52,2.16,2.93,2.12,29.607723,106.680145
11/2/2015,27.983469,4752200,0.01,0.08,0.27,0.37,1.08,1.57,2.2,2.95,2.19,29.826328,107.260643
11/3/2015,27.788458,9419200,0.07,0.06,0.26,0.39,1.1,1.59,2.23,3,2.28,30.001213,105.822395
11/4/2015,27.330196,11056600,0.07,0.05,0.27,0.4,1.16,1.64,2.25,3,2.2,30.071659,107.529213
11/5/2015,27.018183,11970000,0.04,0.05,0.27,0.42,1.16,1.65,2.26,3.01,2.2,29.939566,104.886688
11/6/2015,30.762314,29306800,0.04,0.08,0.32,0.47,1.23,1.73,2.34,3.09,2.15,29.798666,112.346428
11/9/2015,30.625807,12314200,0.06,0.14,0.34,0.47,1.27,1.75,2.36,3.12,2.11,29.367193,109.599922
