Cluster_ID,disbursed_amount,asset_cost,ltv,Employment.Type,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGEACCTAGE,CREDITHISTORYLENGTH,loan_default,logit_loan_default
1,58039.64223,66908.58932,88.86611993,0.471907281,0.572940287,0.122700932,10.05291005,19.42705971,0.255731922,1.12942041
2,988963,1478973,68.32,0,1,0.5,39.5,46.5,0,0
3,34044.88115,46672.24409,75.99625559,0.328434505,0.415335463,0.106070288,8.604472843,15.62364217,0.225559105,0.972206618
4,69750.44994,82613.23375,86.39490626,0.499002792,0.571200638,0.124850419,9.70283207,19.27961707,0.267650578,1.195092285
5,75699.70161,165580.7876,47.48607527,0.295698925,0.341397849,0.091397849,9.491935484,16.97311828,0.217741935,0.933288306
6,41006.85745,90828.2365,47.03551836,0.375809935,0.231101512,0.06587473,7.534557235,12.4049676,0.133909287,0.549024711
7,28033.73854,53847.6961,54.71105263,0.368421053,0.251273345,0.083191851,9.161290323,15.62478778,0.134125637,0.549957096
8,41977.27761,65787.96375,66.20801611,0.407854985,0.339375629,0.078214166,9.192346425,16.24269889,0.135615979,0.55638626
9,55311.90673,67528.43493,84.35499544,0.490965505,0.447344406,0.115167001,8.414674211,15.95856908,0.272860011,1.224531415
10,56713.52808,74178.95571,78.72278449,0.426997245,0.34943844,0.090273363,8.367238822,15.14155541,0.242636152,1.059715389
11,36982.20233,50900.13424,75.592393,0.394941634,0.380674449,0.097276265,8.985732815,15.52788586,0.230220493,0.995741549
12,51350.4466,63237.7911,83.96673822,0.488219895,0.426439791,0.111518325,9.394764398,17.86439791,0.236910995,1.029974721
13,29695.97394,76700.09229,40.54411509,0.311617807,0.190010858,0.042345277,6.508143322,10.23561346,0.127035831,0.519521332
14,72155.06612,100383.3687,73.84052234,0.38134058,0.3227657,0.077596618,7.135567633,12.23339372,0.275664251,1.240575951
15,37912.6056,66801.06561,59.03154073,0.409878363,0.31183192,0.070033174,9.212311095,16.07187615,0.115370439,0.469943734
16,62214.51629,71405.79696,89.17835921,0.491324201,0.565905632,0.125418569,10.96894977,21.37077626,0.254185693,1.121062214
17,54441.21448,82518.03647,68.14108873,0.294501905,0.281437126,0.077299946,8.577027763,14.69134458,0.177463255,0.742138247
18,64241.10871,84076.85279,78.41479695,0.439086294,0.41285956,0.101099831,9.208544839,16.84686971,0.253807107,1.119021162
19,71601.4244,112003.4642,65.82407958,0.314588859,0.233421751,0.070026525,6.687002653,10.68965517,0.233421751,1.012053095
20,32448.90894,69135.47588,49.03455827,0.382113821,0.283468835,0.064498645,9.583739837,16.00216802,0.104607046,0.424698646
21,75593.10229,142132.903,54.76291005,0.287477954,0.239858907,0.072310406,7.9664903,12.03880071,0.204585538,0.869230414
22,45894.61567,71788.16445,66.23551564,0.363889749,0.301641375,0.081759059,9.189532363,15.65593063,0.146794673,0.604979341
23,36063.09962,80665.27995,46.64697352,0.286254729,0.190416141,0.054224464,7.153846154,11.60529634,0.133669609,0.547992063
24,41127.7359,75355.58013,56.64326282,0.310897436,0.207692308,0.081410256,8.518589744,14.07884615,0.148717949,0.613408564
25,59023.03421,85363.53374,71.39910497,0.367385192,0.295688847,0.08950328,7.867385192,13.79803187,0.210402999,0.897342108
26,56091.3694,64931.5286,88.67299514,0.504047491,0.487857528,0.119266055,9.991635186,19.36859147,0.267943875,1.196737391
