,disbursed_amount,asset_cost,ltv,Employment.Type,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGEACCTAGE,CREDITHISTORYLENGTH,loan_default
0,50578,58400,89.55,Salaried,0,0,0,0,0
1,47145,65550,73.23,Self employed,0,1,23,23,1
2,53278,61360,89.63,Self employed,0,0,0,0,0
3,57513,66113,88.48,Self employed,0,0,8,15,1
4,52378,60300,88.39,Self employed,0,0,0,0,1
5,54513,61900,89.66,Self employed,0,0,21,24,0
6,46349,61500,76.42,Salaried,0,0,0,0,0
7,43894,61900,71.89,Salaried,0,0,2,2,0
8,53713,61973,89.56,Self employed,0,0,56,56,0
9,52603,61300,86.95,Salaried,0,0,19,19,0
10,53278,61230,89.83,Self employed,0,0,7,7,1
11,64769,74190,89.23,Salaried,0,0,25,27,0
12,53278,61330,89.68,Salaried,0,0,15,33,1
13,49478,57010,89.46,Salaried,1,0,12,25,1
14,49278,57080,89.35,Self employed,0,0,47,86,1
15,47549,61400,79.8,Salaried,1,0,1,1,1
16,57713,65750,89.28,Self employed,1,1,30,66,0
17,53503,62100,87.28,Self employed,1,0,22,55,0
18,70017,86760,82.99,Self employed,0,0,21,21,1
19,58259,68500,86.13,Self employed,0,0,11,11,1
20,58013,69650,84.71,Self employed,1,0,6,10,0
21,31184,57110,56.91,Salaried,0,0,33,70,0
22,43594,78256,57.5,Self employed,0,0,0,0,0
23,54513,61900,89.66,Self employed,0,0,15,15,0
24,73123,92900,79.66,Self employed,0,0,0,0,0
25,55213,68600,83.09,Salaried,0,0,0,0,0
26,53713,61780,89.83,Self employed,0,0,0,0,1
27,57713,68040,86.27,Self employed,0,0,0,0,1
28,57513,65750,88.97,Self employed,0,0,37,37,1
29,54513,61900,89.66,Self employed,1,0,24,64,0
30,45349,60300,76.29,Self employed,0,0,24,33,0
31,46549,69518,69.05,Salaried,0,0,0,0,0
32,57259,70100,82.74,Salaried,1,0,22,58,0
33,42594,60630,72.57,Self employed,0,0,0,0,0
34,50678,58300,89.88,Self employed,0,0,0,0,0
35,53078,64280,84.01,Self employed,0,0,4,4,1
36,56013,63930,89.16,Self employed,4,0,11,48,1
37,58013,65838,89.61,Self employed,0,2,13,25,0
38,55759,63100,89.54,Self employed,2,0,21,45,0
39,50578,58400,89.55,Salaried,0,0,0,0,1
40,51303,66450,78.25,Salaried,0,0,15,35,0
41,40894,61230,67.78,Self employed,0,0,0,0,0
42,42894,70600,61.61,Self employed,0,0,0,0,0
43,64282,74290,89.11,Salaried,0,0,0,0,0
44,57213,64750,89.88,Salaried,0,0,11,11,0
45,68082,79806,87.71,Salaried,0,0,0,0,0
46,48349,67650,72.43,Salaried,1,0,0,0,0
47,61013,68850,89.76,Self employed,0,0,5,20,1
48,54078,70000,78.57,Salaried,0,0,30,62,0
49,57613,68950,84.99,Self employed,0,0,34,34,1
50,58413,66100,89.86,Self employed,0,0,0,0,0
51,58459,71200,84.27,Salaried,1,0,19,34,0
52,49478,57520,88.66,Self employed,0,0,45,64,1
53,55513,67950,83.15,Salaried,0,0,0,0,1
54,53599,66115,84.7,Salaried,6,0,4,14,0
55,53040,67067,82.73,Salaried,0,0,0,0,1
56,50475,62413,84.6,Salaried,0,0,14,17,0
57,49458,63000,82.54,Salaried,0,0,0,0,0
58,48693,65500,77.86,Salaried,0,0,0,0,1
59,48500,59313,83.79,Salaried,0,0,0,0,0
60,48693,62577,81.5,Salaried,0,0,0,0,0
61,54273,66855,86.75,Salaried,0,0,0,0,1
62,43869,62577,71.91,Salaried,0,0,0,0,1
63,50673,62577,84.7,Salaried,0,0,0,0,1
64,49458,63000,82.54,Salaried,0,0,0,0,0
65,45268,62577,76.23,Salaried,0,0,0,0,0
66,50943,63896,85.29,Salaried,0,0,12,25,0
67,49713,68000,77.94,Self employed,0,0,0,0,0
68,46759,62577,78.3,Salaried,0,0,0,0,0
69,49458,63000,82.54,Salaried,0,0,21,33,1
70,54343,68862,82.77,Salaried,1,0,14,25,0
71,42874,63840,68.92,Salaried,0,0,0,0,1
72,54273,71840,80.73,Salaried,0,0,154,154,0
73,48468,65500,77.86,Salaried,1,0,2,2,1
74,50046,70516,72.75,Salaried,0,0,0,0,0
75,47773,63306,80.56,Salaried,0,0,0,0,0
76,46548,63306,78.82,Salaried,0,0,10,10,0
77,54131,69936,82.36,Salaried,1,0,14,26,1
78,50743,66115,78.65,Salaried,0,0,0,0,0
79,48258,63896,80.6,Salaried,1,0,0,0,0
80,47773,63306,80.56,Salaried,0,0,0,0,0
81,44779,62852,74.78,Salaried,1,1,8,11,0
82,45814,66115,71.09,Salaried,0,0,0,0,0
83,48468,60410,84.42,Salaried,0,0,0,0,0
84,44819,66487,69.19,Salaried,0,0,18,44,0
85,50673,63840,83.02,Salaried,0,0,0,0,0
86,37939,64500,62.02,Salaried,0,0,0,0,1
87,52428,67405,81.6,,0,0,0,0,0
88,51653,63896,86.08,,0,0,0,0,0
89,52818,63896,88.42,Salaried,0,1,0,0,1
90,51428,64840,84.82,Salaried,0,0,0,0,0
91,49488,63306,83.72,,0,0,0,0,0
92,51663,68000,79.41,Salaried,0,0,0,0,0
93,49458,62852,82.73,Salaried,0,0,0,0,1
94,52508,66246,81.51,Salaried,3,1,15,89,0
95,55333,73805,78.59,Salaried,0,0,0,0,0
96,38939,59313,67.44,Salaried,0,0,0,0,0
97,49713,63896,82.95,Self employed,0,0,29,48,0
98,49458,63000,82.54,Salaried,1,0,2,2,1
99,40884,59313,70.81,,0,0,0,0,0
100,50295,67528,77.92,Salaried,0,0,12,12,0
101,44575,59540,78.94,Salaried,0,0,0,0,1
102,49973,63306,84.51,Salaried,0,0,0,0,0
103,45769,66365,72.33,Salaried,0,0,44,50,0
104,51653,63306,86.88,Salaried,0,0,0,0,0
105,46809,59313,80.93,Salaried,0,0,22,22,1
106,41670,59313,74.18,Salaried,1,0,10,25,1
107,48693,62577,81.5,Salaried,0,0,0,0,0
108,51428,63306,86.88,Salaried,0,0,0,0,0
109,54273,69067,83.98,Self employed,0,0,0,0,1
110,51428,63306,86.88,Self employed,0,0,0,0,1
111,45769,59313,80.93,Self employed,0,0,27,27,0
112,42969,63840,72.06,Salaried,0,0,0,0,0
113,48258,63896,80.6,Salaried,0,0,0,0,1
114,47650,62577,79.74,Salaried,0,0,17,23,0
115,42690,63000,69.84,Salaried,0,0,0,0,0
116,41854,59300,74.2,Salaried,0,0,0,0,0
117,46759,62577,78.3,Salaried,0,0,0,0,0
118,48433,63896,80.15,Salaried,0,0,0,0,0
119,46555,59313,82.61,Salaried,0,0,0,0,0
120,48699,59313,84.13,Salaried,0,0,0,0,0
121,49250,65269,77.37,Salaried,0,0,7,7,1
122,34959,60410,59.59,Salaried,0,0,0,0,1
123,43090,64800,70.22,Salaried,1,0,0,0,0
124,28084,63720,45.51,Salaried,0,0,0,0,0
125,49683,62577,83.1,,0,0,0,0,0
126,50673,65269,81.2,Salaried,0,0,0,0,1
127,38164,63896,64.17,Salaried,0,0,0,0,0
128,50673,62577,84.7,Salaried,2,0,6,10,0
129,50458,63896,84.51,Self employed,0,0,0,0,1
130,49458,62577,83.1,Salaried,0,0,0,0,1
131,42874,63800,68.97,Salaried,0,0,0,0,0
132,49683,62577,83.1,Salaried,1,0,8,12,1
133,50743,63149,82.34,Salaried,0,0,0,0,0
134,60213,84398,73.46,Salaried,0,0,0,0,1
135,54303,69542,79.09,Salaried,0,2,22,45,1
136,49803,65368,77.25,Salaried,0,0,6,6,1
137,51403,65687,79.32,Self employed,0,0,0,0,0
138,60971,72657,85,Salaried,0,0,22,38,1
139,45349,65368,70.37,Salaried,0,0,14,23,0
140,36439,61865,59.81,Self employed,0,0,25,61,0
141,51078,65368,79.55,Self employed,0,0,0,0,0
142,74951,102945,74.02,Self employed,0,0,32,33,0
143,58259,66068,89.3,Self employed,2,0,14,51,0
144,52303,66310,79.93,Self employed,0,0,0,0,1
145,46349,65687,71.55,Salaried,1,0,0,0,0
146,51303,65060,79.93,Salaried,0,0,6,6,0
147,51078,65310,79.62,Salaried,0,0,9,12,1
148,58259,65687,89.82,Salaried,2,0,17,81,0
149,52003,68695,76.72,Salaried,1,0,0,0,0
150,49349,65368,76.49,Self employed,1,0,7,13,0
151,55567,66252,84.99,Salaried,0,0,0,0,0
152,40094,61865,65.79,Self employed,2,1,36,132,0
153,55259,65937,84.93,Salaried,0,0,9,9,0
154,40394,65368,62.72,Salaried,0,0,37,60,0
155,52303,62365,84.98,Self employed,2,0,9,19,0
156,40094,65368,62.26,Salaried,3,0,2,9,0
157,50303,67099,76.01,Self employed,2,1,8,25,1
158,53578,68870,79.13,Self employed,0,0,0,0,0
159,52303,68695,77.15,Self employed,0,0,6,6,0
160,58259,65687,89.82,Self employed,0,0,22,23,0
161,54305,64760,85,Self employed,0,0,0,0,0
162,48835,61865,79.99,Self employed,0,0,0,0,0
163,56059,63349,89.66,Salaried,0,0,33,35,0
164,50303,64651,78.89,Salaried,1,1,17,33,0
165,42394,77968,55.15,Self employed,0,0,8,12,0
166,57759,65368,89.49,Self employed,4,0,5,22,0
167,54078,65197,84.36,Salaried,0,0,0,0,1
168,41094,57782,72.17,Self employed,0,0,0,0,1
169,35939,61865,59,Self employed,0,0,0,0,0
170,54003,64389,84.95,Self employed,0,0,32,38,0
171,27229,61865,44.77,Salaried,1,0,6,11,0
172,51078,65203,79.75,Salaried,0,0,0,0,0
173,49349,65690,76.12,Self employed,0,0,87,134,0
174,51303,65249,79.69,Salaried,0,0,0,0,1
175,44749,61865,73.39,Self employed,0,0,27,49,0
176,47049,65215,73.14,Salaried,1,0,10,16,0
177,43394,66068,66.6,Self employed,4,0,4,9,0
178,53803,68245,79.86,Self employed,0,0,7,7,1
179,38439,65215,59.8,Salaried,1,0,24,57,0
180,48349,65368,74.96,Self employed,0,0,0,0,0
181,54759,65368,84.9,Self employed,0,0,52,155,0
182,73723,99500,74.97,Self employed,0,0,15,25,0
183,40394,69498,58.99,Self employed,0,0,0,0,0
184,56013,65687,86.78,Self employed,0,0,16,43,0
185,46349,62465,75.24,Self employed,0,0,14,14,0
186,56959,68695,83.99,Self employed,0,0,12,12,0
187,58259,66068,89.3,Self employed,1,0,9,13,0
188,53878,68601,79.88,Self employed,0,0,0,0,1
189,42394,61917,69.45,Self employed,4,1,10,26,1
190,51303,65251,79.69,Salaried,0,0,29,29,0
191,74122,103060,72.77,Self employed,0,0,0,0,0
192,54576,65368,85,Salaried,1,0,7,10,0
193,52303,66552,79.64,Self employed,0,0,29,29,0
194,49049,64217,77.39,Self employed,0,0,0,0,0
195,46349,65687,71.55,Self employed,0,0,6,7,0
196,51003,65687,78.71,Self employed,2,0,3,3,0
197,53078,65687,82.21,Salaried,0,0,0,0,0
198,51303,67714,76.79,Salaried,0,0,12,15,0
199,35939,61865,59,Self employed,0,0,0,0,0
200,56259,67714,84.18,Self employed,1,0,4,6,1
201,53853,66068,82.57,Self employed,0,0,0,0,0
202,56759,65687,87.54,Salaried,0,0,13,27,0
203,50003,65687,77.18,Self employed,0,0,9,10,0
204,50303,65368,78.02,Self employed,0,1,20,60,0
205,43394,57782,76.15,Salaried,0,0,0,0,0
206,57959,69819,84.07,Self employed,0,0,40,78,1
207,51003,97908,52.8,Self employed,1,0,11,19,0
208,51303,65996,78.79,Self employed,0,1,6,7,0
209,50303,65368,78.02,Self employed,0,0,0,0,0
210,55959,71008,79.85,Self employed,0,0,7,7,0
211,55259,67394,83.09,Salaried,0,0,0,0,0
212,58059,69542,84.55,Salaried,0,0,18,18,0
213,44394,62465,72.04,Self employed,2,0,5,13,0
214,47049,61865,77.1,Self employed,0,0,0,0,0
215,55959,66937,84.71,Self employed,0,0,0,0,0
216,53503,101625,53.33,Self employed,1,1,17,88,0
217,48368,65368,74.99,Self employed,0,0,41,44,0
218,44394,57461,78.31,Self employed,0,0,0,0,0
219,51103,71524,72.42,Salaried,0,0,19,19,0
220,44449,72375,62.31,Self employed,0,0,0,0,0
221,53403,67675,79.94,Salaried,0,0,0,0,0
222,53403,69542,77.79,Self employed,0,0,19,26,0
223,51888,61865,85,Self employed,0,0,55,231,0
224,46349,61865,75.97,Self employed,0,0,0,0,0
225,44622,69863,64.41,Salaried,0,0,0,0,0
226,48145,61865,79.2,Salaried,1,0,5,7,0
227,56759,66099,86.99,Self employed,1,0,23,51,0
228,39439,65368,61.19,Salaried,2,0,8,20,0
229,60947,69542,89.15,Salaried,2,0,3,7,1
230,49349,65687,76.12,Salaried,0,0,0,0,0
231,54303,64729,84.97,Salaried,0,0,10,14,0
232,54303,68877,79.85,Self employed,1,0,10,36,0
233,51303,61865,84.05,Self employed,0,0,0,0,0
234,54303,61865,88.9,Self employed,9,0,4,15,0
235,54822,65368,85,Self employed,2,0,20,70,0
236,42094,65223,65.47,Self employed,0,0,0,0,0
237,43394,66068,66.6,Salaried,0,0,0,0,0
238,44849,65368,69.61,Salaried,0,0,6,6,0
239,42394,61865,69.51,Self employed,0,0,0,0,0
240,54847,65687,85,Salaried,0,0,0,0,0
241,40394,61865,66.27,Salaried,0,0,0,0,0
242,50003,63749,79.53,Salaried,0,0,11,11,0
243,22574,48610,47.32,Self employed,0,0,55,55,0
244,36789,61895,60.34,Self employed,2,0,6,13,0
245,46149,65687,71.25,Self employed,0,0,0,0,0
246,53303,66262,81.49,Salaried,1,0,15,26,0
247,54303,65368,84.14,Self employed,0,0,20,54,0
248,40394,68182,60.13,Salaried,1,1,16,31,0
249,55259,70563,79.36,Salaried,0,0,12,12,0
250,38439,63268,61.64,Salaried,0,0,7,7,0
251,58013,66337,88.94,Salaried,0,0,7,7,0
252,42622,69863,61.55,Self employed,1,0,18,32,0
253,46349,65687,71.55,Self employed,0,1,7,7,0
254,56759,78015,73.7,Salaried,0,0,0,0,0
255,59259,70711,84.85,Self employed,0,0,23,23,0
256,53303,68695,78.61,Salaried,1,0,8,16,0
257,53803,61865,88.1,Salaried,0,0,19,33,0
258,44394,60520,74.36,Self employed,3,0,13,47,0
259,47349,65687,73.07,Salaried,0,0,0,0,0
260,50303,64160,79.49,Self employed,0,1,36,59,0
261,49703,65215,78.2,Self employed,1,0,32,97,0
262,48349,59115,84.58,Self employed,0,0,10,14,1
263,57859,65368,89.65,Self employed,1,0,5,10,0
264,59447,69418,87.15,Salaried,0,0,22,97,0
265,55259,66636,85.54,Self employed,0,0,6,6,0
266,54713,69498,80.15,Self employed,1,0,23,91,0
267,42454,59115,74.43,Salaried,0,0,13,17,0
268,51361,62456,85,Salaried,0,0,0,0,1
269,48599,65782,76.01,Self employed,0,0,0,0,0
270,48599,65368,76.49,Self employed,1,0,6,10,0
271,51073,62115,85,Self employed,0,0,0,0,0
272,44599,66373,69.31,Salaried,1,0,9,19,0
273,44895,66641,69.78,Self employed,0,0,0,0,0
274,61713,69468,89.97,Self employed,0,0,0,0,1
275,57863,66373,89.8,Self employed,0,0,9,9,0
276,50203,67394,76.42,Salaried,1,0,4,4,0
