Brand,Brewery,Calories,Carbohydrates
American Amber Lager,Straub Brewery ,136,10.5
American Lager,Straub Brewery,132,10.5
American Light,Straub Brewery,96,7.6
Anchor Steam,Anchor ,153,16
Anheuser Busch Natural Light ,Anheuser Busch,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,157,8.9
Aspen Edge,Adolph Coors,94,2.6
Bard's Gold (Gluten-Free) ,Bard's Tale Beer Co,155,14.2
Big Sky Moose Drool Brown Ale ,Big Sky Brewing,177,15.6
Big Sky Scape Goat Pale Ale ,Big Sky Brewing,163,13.9
Big Sky Summer Honey Ale (seasonal) ,Big Sky Brewing,154,11.6
Big Sky Trout Slayer Ale ,Big Sky Brewing,163,13.9
Blatz Beer ,Blatz,153,12.5
Blue Moon,Adolph Coors,171,13.7
Bud Dry,Anheuser Busch,130,7.8
Bud Ice,Anheuser Busch,123,8.9
Bud Ice Light,Anheuser Busch,115,7.5
Bud Light,Anheuser Busch,110,6.6
Bud Light Lime,Anheuser Busch,116,8
Bud Light Platinum,Anheuser Busch,137,4.4
Budweiser,Anheuser Busch,145,10.6
Budweiser Select,Anheuser Busch,99,3.1
Budweiser Select 55,Anheuser Busch,55,1.9
Busch Beer ,Anheuser Busch,133,10.2
Busch Ice,Anheuser Busch,169,12.5
Busch Light,Anheuser Busch,95,3.2
Carling Black Label,G. Heileman,138,12.5
Colt 45 Malt Liquor,G. Heileman,174,11.1
Coors  ,MillerCoors,149,12.2
Coors Light ,MillerCoors,104,5.3
Extra Gold Lager ,MillerCoors,152,12.5
Flying Dog Dog Schwarz,Flying Dog Brewery ,222,14.3
Flying Dog Doggie Style,Flying Dog Brewery ,158,11.4
Flying Dog DogtoberFest,Flying Dog Brewery ,165,12.3
Flying Dog Double Dog ,Flying Dog Brewery ,313,16.6
Flying Dog Garde Dog,Flying Dog Brewery ,150,9.3
Flying Dog Gonzo,Flying Dog Brewery ,271,18.9
Flying Dog Horn Dog,Flying Dog Brewery ,314,21.5
Flying Dog In Heat Wheat,Flying Dog Brewery ,138,10.4
Flying Dog K-9 Cruiser,Flying Dog Brewery ,197,10.6
Flying Dog Kerberos Tripel,Flying Dog Brewery ,238,8.6
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery ,154,10.2
Flying Dog Raging Bitch,Flying Dog Brewery ,221,11.6
Flying Dog Road Dog,Flying Dog Brewery ,163,9.9
Flying Dog Snake Dog IPA,Flying Dog Brewery ,188,10
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery ,129,6.2
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery ,288,20.2
Flying Dog Woody Creek White,Flying Dog Brewery ,131,8
Genesee Beer,High Falls Brewing,148,13.5
Genesee Cream Ale,High Falls Brewing,162,15
Genesee Ice,High Falls Brewing,156,14.5
Genesee Red,High Falls Brewing,148,14
George Killian's Irish Red,MillerCoors,162,14.8
Icehouse,MillerCoors,132,8.7
Icehouse 5.0,MillerCoors,149,9.8
Icehouse Light,MillerCoors,103,5.5
Hamm's Beer,MillerCoors,144,12.1
Hamm's Golden Draft,MillerCoors,144,12.1
Hamm's Special Light,MillerCoors,110,8.3
Keystone Premium,Adolph Coors,111,5.8
Keystone Light,Adolph Coors,103,5
Keystone Ice,Adolph Coors,142,5.9
Leinenkugel Honey Weiss,Leinenkugel,149,12
Leinenkugel Northwoods Lager,Leinenkugel,163,15.3
Leinenkugel Original,Leinenkugel,152,13.9
Leinenkugel Creamy Dark,Leinenkugel,170,16.8
Leinenkugel Red ,Leinenkugel,166,16.2
Leinenkugel Sunset Wheat,Leinenkugel,165,16
Leinenkugel Light,Leinenkugel,105,5.7
Leinenkugel Amber Light,Leinenkugel,110,7.4
Magnum Malt Liquor,MillerCoors,157,11.2
Michael Shea's,High Falls Brewing,145,13
Michelob Amber Boch,Anheuser Busch,166,15
Michelob Beer,Anheuser Busch,155,13.3
Michelob Golden Draft,Anheuser Busch,152,14.1
Michelob Golden Draft Light,Anheuser Busch,110,7
Michelob Honey Lager,Anheuser Busch,175,17.9
Michelob Light,Anheuser Busch,113,6.7
Michelob Ultra,Anheuser Busch,95,2.6
Mickey's Fine Malt Liquor ,MillerCoors,157,11.2
Mickey's Ice ,MillerCoors,157,11.8
Miller Chill,MillerCoors,110,6.5
Miller Genuine Draft,MillerCoors,143,13.1
Miller Genuine Draft Light,MillerCoors,110,7
"Miller Genuine Draft ""64""",MillerCoors,64,2.4
Miller High Life,MillerCoors,143,13.1
Miller High Life Light,MillerCoors,110,7
Miller Lite,MillerCoors,96,3.2
Milwaukee's Best,MillerCoors,128,11.4
Miller Lite Brewers Collection Amber,MillerCoors,110,6.2
Miller Lite Brewers Collection Blonde,MillerCoors,110,6.2
Miller Lite Brewers Collection Wheat,MillerCoors,110,6.2
Milwaukee's Best Premium,MillerCoors,128,11.4
Milwaukee's Best Light,MillerCoors,98,3.5
Milwaukee's Best Ice,MillerCoors,144,7.3
New Belgium 1554,New Belgium,205,25
New Belgium 2 Below,New Belgium,200,17
New Belgium Abbey,New Belgium,200,18
New Belgium Blue Paddle,New Belgium,140,14
New Belgium Fat Tire,New Belgium,160,15
New Belgium Mothership Wit,New Belgium,155,15
New Belgium Trippel,New Belgium,215,20
New Belgium Sunshine Wheat,New Belgium,145,13
O'Doul's,Anheuser Busch,70,13.3
Old Milwaukee Light,Old Milwaukee,114,8.3
Old Milwaukee Beer,Old Milwaukee,146,12.9
Olde English 800 ,MillerCoors,160,10.5
Olde English 800 7.5,MillerCoors,202,13.4
Olde English High Gravity 800 ,MillerCoors,220,14.6
Olympia Premium Lager,Pabst,146,11.9
Pabst Blue Ribbon,Pabst,144,12
Pete's Wicked Ale,,174,17.7
Red Dog,MillerCoors,147,14.1
Red Hook ESB,Red Hook,179,14.2
Red Hook IPA,Red Hook,188,12.7
Rolling Rock Premium Beer ,Latrobe,120,10
